,age,job,marital,education,housing,loan,contact,month,day_of_week,duration,campaign,poutcome,employment_variation_rate,has_subscribed,housing_yes,loan_yes,has_subscribed_yes
27,54,blue-collar,divorced,basic.4y,no,no,telephone,may,mon,208,1,nonexistent,1.1,no,0.0,0.0,0.0
28,34,services,married,high.school,no,no,telephone,may,mon,365,1,nonexistent,1.1,no,0.0,0.0,0.0
29,52,technician,married,basic.9y,yes,no,telephone,may,mon,1666,1,nonexistent,1.1,no,1.0,0.0,0.0
30,41,admin.,married,university.degree,yes,no,telephone,may,mon,577,1,nonexistent,1.1,no,1.0,0.0,0.0
31,56,technician,married,basic.4y,yes,no,telephone,may,mon,137,1,nonexistent,1.1,no,1.0,0.0,0.0
32,32,entrepreneur,married,high.school,yes,no,telephone,may,mon,314,1,nonexistent,1.1,no,1.0,0.0,0.0
33,38,admin.,single,professional.course,no,no,telephone,may,mon,160,1,nonexistent,1.1,no,0.0,0.0,0.0
34,57,admin.,married,university.degree,no,yes,telephone,may,mon,212,1,nonexistent,1.1,no,0.0,1.0,0.0
35,44,admin.,married,university.degree,yes,no,telephone,may,mon,188,1,nonexistent,1.1,no,1.0,0.0,0.0
36,42,technician,single,professional.course,no,no,telephone,may,mon,22,1,nonexistent,1.1,no,0.0,0.0,0.0
37,57,admin.,married,university.degree,yes,yes,telephone,may,mon,616,1,nonexistent,1.1,no,1.0,1.0,0.0
38,40,blue-collar,married,basic.9y,no,yes,telephone,may,mon,178,1,nonexistent,1.1,no,0.0,1.0,0.0
39,35,admin.,married,university.degree,yes,no,telephone,may,mon,355,1,nonexistent,1.1,no,1.0,0.0,0.0
40,45,blue-collar,married,basic.9y,yes,no,telephone,may,mon,225,2,nonexistent,1.1,no,1.0,0.0,0.0
41,54,admin.,married,high.school,no,no,telephone,may,mon,160,1,nonexistent,1.1,no,0.0,0.0,0.0
42,39,housemaid,married,basic.4y,no,yes,telephone,may,mon,266,1,nonexistent,1.1,no,0.0,1.0,0.0
43,60,admin.,married,high.school,no,no,telephone,may,mon,253,1,nonexistent,1.1,no,0.0,0.0,0.0
44,53,admin.,single,professional.course,no,no,telephone,may,mon,179,1,nonexistent,1.1,no,0.0,0.0,0.0
45,55,blue-collar,married,basic.4y,no,no,telephone,may,mon,269,2,nonexistent,1.1,no,0.0,0.0,0.0
46,55,technician,married,professional.course,yes,no,telephone,may,mon,135,1,nonexistent,1.1,no,1.0,0.0,0.0
47,50,management,married,university.degree,no,yes,telephone,may,mon,161,1,nonexistent,1.1,no,0.0,1.0,0.0
48,45,services,married,high.school,yes,no,telephone,may,mon,787,1,nonexistent,1.1,no,1.0,0.0,0.0
49,55,unemployed,married,professional.course,yes,yes,telephone,may,mon,145,1,nonexistent,1.1,no,1.0,1.0,0.0
50,25,technician,single,university.degree,yes,no,telephone,may,mon,174,1,nonexistent,1.1,no,1.0,0.0,0.0
51,47,entrepreneur,married,university.degree,no,no,telephone,may,mon,449,1,nonexistent,1.1,no,0.0,0.0,0.0
52,51,blue-collar,married,basic.9y,yes,no,telephone,may,mon,812,1,nonexistent,1.1,no,1.0,0.0,0.0
53,42,blue-collar,married,basic.6y,yes,no,telephone,may,mon,164,1,nonexistent,1.1,no,1.0,0.0,0.0
54,42,blue-collar,married,basic.6y,no,no,telephone,may,mon,366,1,nonexistent,1.1,no,0.0,0.0,0.0
55,48,admin.,married,high.school,no,no,telephone,may,mon,357,1,nonexistent,1.1,no,0.0,0.0,0.0
56,37,admin.,married,university.degree,no,no,telephone,may,mon,232,1,nonexistent,1.1,no,0.0,0.0,0.0
57,44,blue-collar,single,basic.9y,yes,no,telephone,may,mon,91,1,nonexistent,1.1,no,1.0,0.0,0.0
58,56,admin.,married,basic.9y,yes,no,telephone,may,mon,158,2,nonexistent,1.1,no,1.0,0.0,0.0
59,44,blue-collar,single,basic.4y,yes,yes,telephone,may,mon,177,1,nonexistent,1.1,no,1.0,1.0,0.0
60,41,management,married,basic.6y,no,no,telephone,may,mon,200,1,nonexistent,1.1,no,0.0,0.0,0.0
61,44,management,divorced,university.degree,yes,no,telephone,may,mon,172,1,nonexistent,1.1,no,1.0,0.0,0.0
62,47,admin.,married,university.degree,yes,no,telephone,may,mon,176,1,nonexistent,1.1,no,1.0,0.0,0.0
63,37,admin.,married,university.degree,yes,no,telephone,may,mon,214,1,nonexistent,1.1,no,1.0,0.0,0.0
64,41,blue-collar,divorced,basic.4y,yes,no,telephone,may,mon,1575,1,nonexistent,1.1,yes,1.0,0.0,1.0
65,55,technician,married,university.degree,no,no,telephone,may,mon,349,1,nonexistent,1.1,no,0.0,0.0,0.0
66,33,services,married,high.school,yes,no,telephone,may,mon,337,2,nonexistent,1.1,no,1.0,0.0,0.0
67,42,blue-collar,married,basic.9y,no,no,telephone,may,mon,208,1,nonexistent,1.1,no,0.0,0.0,0.0
68,50,blue-collar,married,basic.4y,yes,no,telephone,may,mon,193,1,nonexistent,1.1,no,1.0,0.0,0.0
69,38,admin.,married,high.school,no,no,telephone,may,mon,165,2,nonexistent,1.1,no,0.0,0.0,0.0
70,49,entrepreneur,married,university.degree,yes,no,telephone,may,mon,1042,1,nonexistent,1.1,yes,1.0,0.0,1.0
71,38,technician,single,university.degree,no,yes,telephone,may,mon,20,1,nonexistent,1.1,no,0.0,1.0,0.0
72,31,admin.,divorced,high.school,no,no,telephone,may,mon,246,1,nonexistent,1.1,no,0.0,0.0,0.0
73,41,management,married,basic.6y,no,no,telephone,may,mon,529,2,nonexistent,1.1,no,0.0,0.0,0.0
74,39,admin.,married,university.degree,yes,yes,telephone,may,mon,192,1,nonexistent,1.1,no,1.0,1.0,0.0
75,49,technician,married,basic.9y,no,no,telephone,may,mon,1467,1,nonexistent,1.1,yes,0.0,0.0,1.0
76,34,admin.,married,high.school,yes,no,telephone,may,mon,188,2,nonexistent,1.1,no,1.0,0.0,0.0
77,35,admin.,married,university.degree,yes,no,telephone,may,mon,180,2,nonexistent,1.1,no,1.0,0.0,0.0
78,33,unemployed,married,basic.9y,no,no,telephone,may,mon,545,1,nonexistent,1.1,no,0.0,0.0,0.0
79,42,blue-collar,married,basic.6y,no,yes,telephone,may,mon,583,1,nonexistent,1.1,no,0.0,1.0,0.0
80,45,services,married,professional.course,yes,no,telephone,may,mon,221,1,nonexistent,1.1,no,1.0,0.0,0.0
81,42,management,married,university.degree,no,no,telephone,may,mon,426,1,nonexistent,1.1,no,0.0,0.0,0.0
82,53,admin.,divorced,university.degree,no,no,telephone,may,mon,287,1,nonexistent,1.1,no,0.0,0.0,0.0
83,37,technician,single,professional.course,no,no,telephone,may,mon,197,1,nonexistent,1.1,no,0.0,0.0,0.0
84,44,blue-collar,married,basic.6y,no,no,telephone,may,mon,257,1,nonexistent,1.1,no,0.0,0.0,0.0
85,49,blue-collar,married,basic.4y,no,no,telephone,may,mon,55,3,nonexistent,1.1,no,0.0,0.0,0.0
86,52,admin.,divorced,university.degree,no,no,telephone,may,mon,197,1,nonexistent,1.1,no,0.0,0.0,0.0
87,52,admin.,divorced,university.degree,no,no,telephone,may,mon,190,1,nonexistent,1.1,no,0.0,0.0,0.0
88,43,services,single,high.school,no,no,telephone,may,mon,21,1,nonexistent,1.1,no,0.0,0.0,0.0
89,34,housemaid,married,basic.6y,yes,no,telephone,may,mon,300,2,nonexistent,1.1,no,1.0,0.0,0.0
90,35,admin.,married,high.school,yes,no,telephone,may,mon,123,2,nonexistent,1.1,no,1.0,0.0,0.0
91,60,retired,divorced,university.degree,no,no,telephone,may,mon,514,1,nonexistent,1.1,no,0.0,0.0,0.0
92,58,unemployed,married,basic.4y,no,no,telephone,may,mon,849,2,nonexistent,1.1,no,0.0,0.0,0.0
93,35,services,divorced,high.school,yes,no,telephone,may,mon,194,1,nonexistent,1.1,no,1.0,0.0,0.0
94,55,blue-collar,married,basic.9y,yes,no,telephone,may,mon,212,2,nonexistent,1.1,no,1.0,0.0,0.0
95,37,management,married,university.degree,no,no,telephone,may,mon,337,2,nonexistent,1.1,no,0.0,0.0,0.0
96,36,blue-collar,married,high.school,no,no,telephone,may,mon,286,1,nonexistent,1.1,no,0.0,0.0,0.0
97,52,admin.,divorced,university.degree,no,no,telephone,may,mon,247,2,nonexistent,1.1,no,0.0,0.0,0.0
98,48,blue-collar,divorced,basic.4y,yes,no,telephone,may,mon,178,1,nonexistent,1.1,no,1.0,0.0,0.0
99,40,blue-collar,married,high.school,yes,no,telephone,may,mon,98,1,nonexistent,1.1,no,1.0,0.0,0.0
100,49,blue-collar,divorced,high.school,no,no,telephone,may,mon,439,1,nonexistent,1.1,no,0.0,0.0,0.0
101,41,services,married,high.school,no,no,telephone,may,mon,139,1,nonexistent,1.1,no,0.0,0.0,0.0
102,45,technician,married,high.school,yes,no,telephone,may,mon,79,1,nonexistent,1.1,no,1.0,0.0,0.0
103,32,admin.,married,university.degree,yes,yes,telephone,may,mon,175,1,nonexistent,1.1,no,1.0,1.0,0.0
104,42,admin.,married,university.degree,no,yes,telephone,may,mon,262,2,nonexistent,1.1,no,0.0,1.0,0.0
105,50,admin.,married,basic.6y,no,no,telephone,may,mon,61,1,nonexistent,1.1,no,0.0,0.0,0.0
106,31,technician,divorced,professional.course,yes,yes,telephone,may,mon,78,1,nonexistent,1.1,no,1.0,1.0,0.0
107,56,retired,married,basic.4y,yes,no,telephone,may,mon,102,2,nonexistent,1.1,no,1.0,0.0,0.0
108,41,technician,married,professional.course,yes,no,telephone,may,mon,579,1,nonexistent,1.1,yes,1.0,0.0,1.0
109,37,blue-collar,married,basic.6y,yes,yes,telephone,may,mon,143,1,nonexistent,1.1,no,1.0,1.0,0.0
110,41,technician,married,professional.course,no,no,telephone,may,mon,677,1,nonexistent,1.1,no,0.0,0.0,0.0
111,37,blue-collar,married,basic.6y,yes,no,telephone,may,mon,345,1,nonexistent,1.1,no,1.0,0.0,0.0
112,52,management,married,university.degree,no,no,telephone,may,mon,185,1,nonexistent,1.1,no,0.0,0.0,0.0
113,39,management,divorced,university.degree,no,no,telephone,may,mon,207,1,nonexistent,1.1,no,0.0,0.0,0.0
114,39,housemaid,married,basic.4y,no,no,telephone,may,mon,69,2,nonexistent,1.1,no,0.0,0.0,0.0
115,56,blue-collar,married,basic.4y,no,no,telephone,may,mon,100,2,nonexistent,1.1,no,0.0,0.0,0.0
116,34,services,married,high.school,yes,no,telephone,may,mon,125,2,nonexistent,1.1,no,1.0,0.0,0.0
117,45,blue-collar,married,basic.9y,yes,no,telephone,may,mon,461,1,nonexistent,1.1,yes,1.0,0.0,1.0
118,43,unemployed,single,university.degree,yes,no,telephone,may,mon,240,1,nonexistent,1.1,no,1.0,0.0,0.0
119,39,management,married,university.degree,yes,no,telephone,may,mon,193,1,nonexistent,1.1,no,1.0,0.0,0.0
120,53,blue-collar,married,basic.4y,yes,no,telephone,may,mon,136,1,nonexistent,1.1,no,1.0,0.0,0.0
121,42,blue-collar,married,basic.4y,yes,no,telephone,may,mon,528,1,nonexistent,1.1,no,1.0,0.0,0.0
122,42,blue-collar,married,basic.4y,no,no,telephone,may,mon,541,1,nonexistent,1.1,no,0.0,0.0,0.0
123,35,admin.,single,high.school,yes,no,telephone,may,mon,338,1,nonexistent,1.1,no,1.0,0.0,0.0
124,40,admin.,married,university.degree,yes,no,telephone,may,mon,163,1,nonexistent,1.1,no,1.0,0.0,0.0
125,51,blue-collar,married,basic.4y,yes,no,telephone,may,mon,87,1,nonexistent,1.1,no,1.0,0.0,0.0
126,60,blue-collar,married,basic.9y,no,no,telephone,may,mon,301,1,nonexistent,1.1,no,0.0,0.0,0.0
127,39,services,divorced,high.school,yes,no,telephone,may,mon,52,1,nonexistent,1.1,no,1.0,0.0,0.0
128,36,blue-collar,married,basic.9y,yes,yes,telephone,may,mon,98,1,nonexistent,1.1,no,1.0,1.0,0.0
129,43,technician,single,professional.course,yes,no,telephone,may,mon,186,2,nonexistent,1.1,no,1.0,0.0,0.0
130,59,services,married,high.school,no,no,telephone,may,mon,579,2,nonexistent,1.1,no,0.0,0.0,0.0
131,24,management,single,university.degree,yes,no,telephone,may,mon,165,2,nonexistent,1.1,no,1.0,0.0,0.0
132,37,blue-collar,single,basic.9y,yes,yes,telephone,may,mon,163,2,nonexistent,1.1,no,1.0,1.0,0.0
133,40,blue-collar,married,basic.9y,no,no,telephone,may,mon,46,1,nonexistent,1.1,no,0.0,0.0,0.0
134,42,blue-collar,married,basic.9y,no,no,telephone,may,mon,559,3,nonexistent,1.1,no,0.0,0.0,0.0
135,39,services,divorced,high.school,no,no,telephone,may,mon,2033,1,nonexistent,1.1,no,0.0,0.0,0.0
136,37,entrepreneur,married,basic.6y,no,no,telephone,may,mon,85,1,nonexistent,1.1,no,0.0,0.0,0.0
137,38,services,married,high.school,yes,yes,telephone,may,mon,506,1,nonexistent,1.1,no,1.0,1.0,0.0
138,54,management,divorced,university.degree,yes,no,telephone,may,mon,843,2,nonexistent,1.1,no,1.0,0.0,0.0
139,43,blue-collar,married,high.school,no,yes,telephone,may,mon,181,1,nonexistent,1.1,no,0.0,1.0,0.0
140,36,services,married,high.school,no,no,telephone,may,mon,427,1,nonexistent,1.1,no,0.0,0.0,0.0
141,45,technician,married,university.degree,yes,yes,telephone,may,mon,292,1,nonexistent,1.1,no,1.0,1.0,0.0
142,42,admin.,single,university.degree,no,no,telephone,may,mon,192,1,nonexistent,1.1,no,0.0,0.0,0.0
143,43,services,married,high.school,no,no,telephone,may,mon,93,3,nonexistent,1.1,no,0.0,0.0,0.0
144,46,management,married,basic.9y,no,no,telephone,may,mon,128,2,nonexistent,1.1,no,0.0,0.0,0.0
145,44,services,married,high.school,yes,yes,telephone,may,mon,107,1,nonexistent,1.1,no,1.0,1.0,0.0
146,51,admin.,single,basic.6y,no,no,telephone,may,mon,303,2,nonexistent,1.1,no,0.0,0.0,0.0
147,28,services,married,high.school,yes,no,telephone,may,mon,81,1,nonexistent,1.1,no,1.0,0.0,0.0
148,37,blue-collar,married,basic.9y,no,no,telephone,may,mon,270,1,nonexistent,1.1,no,0.0,0.0,0.0
149,34,technician,married,high.school,no,no,telephone,may,mon,228,1,nonexistent,1.1,no,0.0,0.0,0.0
150,46,blue-collar,married,basic.6y,yes,no,telephone,may,mon,240,1,nonexistent,1.1,no,1.0,0.0,0.0
151,42,blue-collar,married,basic.9y,yes,yes,telephone,may,mon,673,2,nonexistent,1.1,yes,1.0,1.0,1.0
152,36,admin.,married,university.degree,yes,no,telephone,may,mon,233,3,nonexistent,1.1,no,1.0,0.0,0.0
153,54,blue-collar,married,basic.4y,no,no,telephone,may,mon,102,1,nonexistent,1.1,no,0.0,0.0,0.0
154,57,management,married,university.degree,no,no,telephone,may,mon,461,1,nonexistent,1.1,no,0.0,0.0,0.0
155,51,technician,married,basic.6y,no,no,telephone,may,mon,250,1,nonexistent,1.1,no,0.0,0.0,0.0
156,54,retired,married,high.school,no,no,telephone,may,mon,130,1,nonexistent,1.1,no,0.0,0.0,0.0
157,49,blue-collar,married,basic.4y,no,no,telephone,may,mon,252,1,nonexistent,1.1,no,0.0,0.0,0.0
158,34,admin.,married,university.degree,yes,no,telephone,may,mon,138,1,nonexistent,1.1,no,1.0,0.0,0.0
159,41,technician,married,professional.course,no,no,telephone,may,mon,412,1,nonexistent,1.1,no,0.0,0.0,0.0
160,38,blue-collar,single,basic.9y,yes,no,telephone,may,mon,179,2,nonexistent,1.1,no,1.0,0.0,0.0
161,45,management,divorced,university.degree,no,no,telephone,may,mon,19,2,nonexistent,1.1,no,0.0,0.0,0.0
162,42,technician,married,university.degree,no,no,telephone,may,mon,228,2,nonexistent,1.1,no,0.0,0.0,0.0
163,34,blue-collar,single,basic.9y,yes,no,telephone,may,mon,55,1,nonexistent,1.1,no,1.0,0.0,0.0
164,48,blue-collar,married,basic.4y,yes,no,telephone,may,mon,717,1,nonexistent,1.1,no,1.0,0.0,0.0
165,37,admin.,married,high.school,yes,no,telephone,may,mon,313,1,nonexistent,1.1,no,1.0,0.0,0.0
166,34,blue-collar,single,basic.9y,no,no,telephone,may,mon,289,1,nonexistent,1.1,no,0.0,0.0,0.0
167,40,admin.,married,basic.9y,yes,no,telephone,may,mon,683,2,nonexistent,1.1,no,1.0,0.0,0.0
168,43,blue-collar,married,basic.6y,yes,no,telephone,may,mon,1077,1,nonexistent,1.1,no,1.0,0.0,0.0
169,33,services,married,high.school,no,no,telephone,may,mon,146,2,nonexistent,1.1,no,0.0,0.0,0.0
170,32,services,single,basic.6y,no,no,telephone,may,mon,167,1,nonexistent,1.1,no,0.0,0.0,0.0
171,39,blue-collar,married,high.school,yes,no,telephone,may,mon,356,2,nonexistent,1.1,no,1.0,0.0,0.0
172,44,blue-collar,married,basic.9y,yes,no,telephone,may,mon,172,1,nonexistent,1.1,no,1.0,0.0,0.0
173,35,student,single,university.degree,no,no,telephone,may,mon,218,1,nonexistent,1.1,no,0.0,0.0,0.0
174,35,student,single,university.degree,yes,yes,telephone,may,mon,217,1,nonexistent,1.1,no,1.0,1.0,0.0
175,35,unemployed,married,professional.course,no,no,telephone,may,mon,67,1,nonexistent,1.1,no,0.0,0.0,0.0
176,36,services,single,basic.4y,no,no,telephone,may,mon,291,1,nonexistent,1.1,no,0.0,0.0,0.0
177,35,student,single,university.degree,yes,no,telephone,may,mon,248,1,nonexistent,1.1,no,1.0,0.0,0.0
178,36,student,single,basic.9y,yes,no,telephone,may,mon,256,1,nonexistent,1.1,no,1.0,0.0,0.0
179,55,housemaid,divorced,university.degree,no,no,telephone,may,mon,286,1,nonexistent,1.1,no,0.0,0.0,0.0
180,59,admin.,married,university.degree,no,no,telephone,may,mon,477,1,nonexistent,1.1,no,0.0,0.0,0.0
181,39,blue-collar,married,professional.course,yes,no,telephone,may,mon,471,1,nonexistent,1.1,no,1.0,0.0,0.0
182,39,housemaid,married,basic.4y,yes,no,telephone,may,mon,381,2,nonexistent,1.1,no,1.0,0.0,0.0
183,50,housemaid,married,basic.4y,no,no,telephone,may,mon,287,1,nonexistent,1.1,no,0.0,0.0,0.0
184,40,services,married,high.school,no,no,telephone,may,mon,322,3,nonexistent,1.1,no,0.0,0.0,0.0
185,35,admin.,married,high.school,yes,no,telephone,may,mon,216,2,nonexistent,1.1,no,1.0,0.0,0.0
186,36,services,single,basic.6y,yes,no,telephone,may,mon,210,1,nonexistent,1.1,no,1.0,0.0,0.0
187,46,technician,married,basic.4y,yes,no,telephone,may,mon,288,1,nonexistent,1.1,no,1.0,0.0,0.0
188,40,technician,married,basic.9y,no,no,telephone,may,mon,168,1,nonexistent,1.1,no,0.0,0.0,0.0
189,58,retired,married,university.degree,no,no,telephone,may,mon,132,1,nonexistent,1.1,no,0.0,0.0,0.0
190,42,technician,married,university.degree,no,no,telephone,may,mon,64,2,nonexistent,1.1,no,0.0,0.0,0.0
191,35,admin.,single,university.degree,no,no,telephone,may,mon,209,2,nonexistent,1.1,no,0.0,0.0,0.0
192,43,retired,married,basic.4y,no,no,telephone,may,mon,410,3,nonexistent,1.1,no,0.0,0.0,0.0
193,45,blue-collar,married,basic.4y,yes,yes,telephone,may,mon,177,1,nonexistent,1.1,no,1.0,1.0,0.0
194,39,admin.,married,professional.course,yes,no,telephone,may,mon,580,2,nonexistent,1.1,no,1.0,0.0,0.0
195,50,services,divorced,professional.course,yes,no,telephone,may,mon,165,1,nonexistent,1.1,no,1.0,0.0,0.0
196,32,management,divorced,basic.4y,yes,no,telephone,may,mon,127,2,nonexistent,1.1,no,1.0,0.0,0.0
197,39,admin.,married,high.school,no,no,telephone,may,mon,357,1,nonexistent,1.1,no,0.0,0.0,0.0
198,52,self-employed,married,university.degree,no,no,telephone,may,mon,175,1,nonexistent,1.1,no,0.0,0.0,0.0
199,44,admin.,married,professional.course,yes,no,telephone,may,mon,300,1,nonexistent,1.1,no,1.0,0.0,0.0
200,56,blue-collar,married,basic.4y,no,no,telephone,may,mon,136,1,nonexistent,1.1,no,0.0,0.0,0.0
201,48,admin.,married,high.school,no,no,telephone,may,mon,125,2,nonexistent,1.1,no,0.0,0.0,0.0
202,33,services,married,high.school,no,yes,telephone,may,mon,189,2,nonexistent,1.1,no,0.0,1.0,0.0
203,43,management,married,university.degree,no,yes,telephone,may,mon,213,3,nonexistent,1.1,no,0.0,1.0,0.0
204,57,retired,married,high.school,no,no,telephone,may,mon,238,2,nonexistent,1.1,no,0.0,0.0,0.0
205,36,technician,single,professional.course,no,no,telephone,may,mon,124,1,nonexistent,1.1,no,0.0,0.0,0.0
206,34,management,married,university.degree,yes,no,telephone,may,mon,18,1,nonexistent,1.1,no,1.0,0.0,0.0
207,34,services,single,basic.9y,no,no,telephone,may,mon,730,2,nonexistent,1.1,no,0.0,0.0,0.0
208,30,technician,married,university.degree,no,no,telephone,may,mon,40,1,nonexistent,1.1,no,0.0,0.0,0.0
209,32,technician,single,professional.course,no,no,telephone,may,mon,79,1,nonexistent,1.1,no,0.0,0.0,0.0
210,36,technician,single,high.school,yes,no,telephone,may,mon,142,2,nonexistent,1.1,no,1.0,0.0,0.0
211,36,blue-collar,single,high.school,no,yes,telephone,may,mon,389,1,nonexistent,1.1,no,0.0,1.0,0.0
212,33,services,single,high.school,no,no,telephone,may,mon,702,1,nonexistent,1.1,no,0.0,0.0,0.0
213,40,technician,divorced,professional.course,no,no,telephone,may,mon,151,1,nonexistent,1.1,no,0.0,0.0,0.0
214,41,blue-collar,married,basic.4y,yes,no,telephone,may,mon,211,1,nonexistent,1.1,no,1.0,0.0,0.0
215,51,services,married,basic.6y,yes,no,telephone,may,mon,117,1,nonexistent,1.1,no,1.0,0.0,0.0
216,36,technician,married,professional.course,yes,no,telephone,may,mon,232,3,nonexistent,1.1,no,1.0,0.0,0.0
217,53,services,married,high.school,yes,yes,telephone,may,mon,370,3,nonexistent,1.1,no,1.0,1.0,0.0
218,58,blue-collar,married,basic.9y,yes,no,telephone,may,mon,179,2,nonexistent,1.1,no,1.0,0.0,0.0
219,45,management,married,basic.9y,no,yes,telephone,may,mon,46,1,nonexistent,1.1,no,0.0,1.0,0.0
220,33,admin.,married,high.school,no,yes,telephone,may,mon,50,1,nonexistent,1.1,no,0.0,1.0,0.0
221,33,admin.,married,high.school,no,yes,telephone,may,mon,181,1,nonexistent,1.1,no,0.0,1.0,0.0
222,42,technician,married,high.school,no,no,telephone,may,mon,361,1,nonexistent,1.1,no,0.0,0.0,0.0
223,43,admin.,divorced,basic.9y,no,no,telephone,may,mon,73,3,nonexistent,1.1,no,0.0,0.0,0.0
224,42,admin.,married,university.degree,no,no,telephone,may,mon,67,2,nonexistent,1.1,no,0.0,0.0,0.0
225,27,blue-collar,single,basic.6y,no,no,telephone,may,mon,350,1,nonexistent,1.1,no,0.0,0.0,0.0
226,34,self-employed,single,university.degree,yes,no,telephone,may,mon,150,2,nonexistent,1.1,no,1.0,0.0,0.0
227,31,student,single,university.degree,no,no,telephone,may,mon,332,2,nonexistent,1.1,no,0.0,0.0,0.0
228,54,management,divorced,university.degree,no,no,telephone,may,mon,611,2,nonexistent,1.1,no,0.0,0.0,0.0
229,40,self-employed,married,basic.4y,no,no,telephone,may,mon,58,3,nonexistent,1.1,no,0.0,0.0,0.0
230,52,unemployed,married,high.school,yes,no,telephone,may,mon,151,1,nonexistent,1.1,no,1.0,0.0,0.0
231,47,management,divorced,university.degree,no,no,telephone,may,mon,89,2,nonexistent,1.1,no,0.0,0.0,0.0
232,49,housemaid,married,basic.9y,no,no,telephone,may,mon,152,1,nonexistent,1.1,no,0.0,0.0,0.0
233,32,admin.,single,high.school,no,no,telephone,may,mon,611,2,nonexistent,1.1,no,0.0,0.0,0.0
234,49,housemaid,single,high.school,yes,yes,telephone,may,mon,110,2,nonexistent,1.1,no,1.0,1.0,0.0
235,50,blue-collar,married,basic.9y,no,no,telephone,may,mon,463,1,nonexistent,1.1,no,0.0,0.0,0.0
236,34,services,married,high.school,no,no,telephone,may,mon,962,1,nonexistent,1.1,no,0.0,0.0,0.0
237,55,blue-collar,married,basic.4y,no,no,telephone,may,mon,102,2,nonexistent,1.1,no,0.0,0.0,0.0
238,47,technician,single,basic.9y,no,no,telephone,may,mon,10,4,nonexistent,1.1,no,0.0,0.0,0.0
239,51,retired,married,professional.course,no,no,telephone,may,mon,118,3,nonexistent,1.1,no,0.0,0.0,0.0
240,47,blue-collar,married,basic.6y,no,no,telephone,may,mon,92,2,nonexistent,1.1,no,0.0,0.0,0.0
241,56,technician,married,basic.4y,yes,no,telephone,may,mon,143,3,nonexistent,1.1,no,1.0,0.0,0.0
