,age,job,marital,education,housing,loan,contact,month,day_of_week,duration,campaign,poutcome,employment_variation_rate,has_subscribed
97,52,admin.,divorced,university.degree,no,no,telephone,may,mon,247,2,nonexistent,1.1,no
98,48,blue-collar,divorced,basic.4y,yes,no,telephone,may,mon,178,1,nonexistent,1.1,no
99,40,blue-collar,married,high.school,yes,no,telephone,may,mon,98,1,nonexistent,1.1,no
100,49,blue-collar,divorced,high.school,no,no,telephone,may,mon,439,1,nonexistent,1.1,no
101,41,services,married,high.school,no,no,telephone,may,mon,139,1,nonexistent,1.1,no
102,45,technician,married,high.school,yes,no,telephone,may,mon,79,1,nonexistent,1.1,no
103,32,admin.,married,university.degree,yes,yes,telephone,may,mon,175,1,nonexistent,1.1,no
104,42,admin.,married,university.degree,no,yes,telephone,may,mon,262,2,nonexistent,1.1,no
105,50,admin.,married,basic.6y,no,no,telephone,may,mon,61,1,nonexistent,1.1,no
106,31,technician,divorced,professional.course,yes,yes,telephone,may,mon,78,1,nonexistent,1.1,no
107,56,retired,married,basic.4y,yes,no,telephone,may,mon,102,2,nonexistent,1.1,no
108,41,technician,married,professional.course,yes,no,telephone,may,mon,579,1,nonexistent,1.1,yes
109,37,blue-collar,married,basic.6y,yes,yes,telephone,may,mon,143,1,nonexistent,1.1,no
110,41,technician,married,professional.course,no,no,telephone,may,mon,677,1,nonexistent,1.1,no
111,37,blue-collar,married,basic.6y,yes,no,telephone,may,mon,345,1,nonexistent,1.1,no
112,52,management,married,university.degree,no,no,telephone,may,mon,185,1,nonexistent,1.1,no
113,39,management,divorced,university.degree,no,no,telephone,may,mon,207,1,nonexistent,1.1,no
114,39,housemaid,married,basic.4y,no,no,telephone,may,mon,69,2,nonexistent,1.1,no
115,56,blue-collar,married,basic.4y,no,no,telephone,may,mon,100,2,nonexistent,1.1,no
116,34,services,married,high.school,yes,no,telephone,may,mon,125,2,nonexistent,1.1,no
117,45,blue-collar,married,basic.9y,yes,no,telephone,may,mon,461,1,nonexistent,1.1,yes
118,43,unemployed,single,university.degree,yes,no,telephone,may,mon,240,1,nonexistent,1.1,no
119,39,management,married,university.degree,yes,no,telephone,may,mon,193,1,nonexistent,1.1,no
120,53,blue-collar,married,basic.4y,yes,no,telephone,may,mon,136,1,nonexistent,1.1,no
121,42,blue-collar,married,basic.4y,yes,no,telephone,may,mon,528,1,nonexistent,1.1,no
122,42,blue-collar,married,basic.4y,no,no,telephone,may,mon,541,1,nonexistent,1.1,no
123,35,admin.,single,high.school,yes,no,telephone,may,mon,338,1,nonexistent,1.1,no
124,40,admin.,married,university.degree,yes,no,telephone,may,mon,163,1,nonexistent,1.1,no
125,51,blue-collar,married,basic.4y,yes,no,telephone,may,mon,87,1,nonexistent,1.1,no
126,60,blue-collar,married,basic.9y,no,no,telephone,may,mon,301,1,nonexistent,1.1,no
127,39,services,divorced,high.school,yes,no,telephone,may,mon,52,1,nonexistent,1.1,no
128,36,blue-collar,married,basic.9y,yes,yes,telephone,may,mon,98,1,nonexistent,1.1,no
129,43,technician,single,professional.course,yes,no,telephone,may,mon,186,2,nonexistent,1.1,no
130,59,services,married,high.school,no,no,telephone,may,mon,579,2,nonexistent,1.1,no
131,24,management,single,university.degree,yes,no,telephone,may,mon,165,2,nonexistent,1.1,no
132,37,blue-collar,single,basic.9y,yes,yes,telephone,may,mon,163,2,nonexistent,1.1,no
133,40,blue-collar,married,basic.9y,no,no,telephone,may,mon,46,1,nonexistent,1.1,no
134,42,blue-collar,married,basic.9y,no,no,telephone,may,mon,559,3,nonexistent,1.1,no
135,39,services,divorced,high.school,no,no,telephone,may,mon,2033,1,nonexistent,1.1,no
136,37,entrepreneur,married,basic.6y,no,no,telephone,may,mon,85,1,nonexistent,1.1,no
137,38,services,married,high.school,yes,yes,telephone,may,mon,506,1,nonexistent,1.1,no
138,54,management,divorced,university.degree,yes,no,telephone,may,mon,843,2,nonexistent,1.1,no
139,43,blue-collar,married,high.school,no,yes,telephone,may,mon,181,1,nonexistent,1.1,no
140,36,services,married,high.school,no,no,telephone,may,mon,427,1,nonexistent,1.1,no
141,45,technician,married,university.degree,yes,yes,telephone,may,mon,292,1,nonexistent,1.1,no
142,42,admin.,single,university.degree,no,no,telephone,may,mon,192,1,nonexistent,1.1,no
143,43,services,married,high.school,no,no,telephone,may,mon,93,3,nonexistent,1.1,no
144,46,management,married,basic.9y,no,no,telephone,may,mon,128,2,nonexistent,1.1,no
145,44,services,married,high.school,yes,yes,telephone,may,mon,107,1,nonexistent,1.1,no
146,51,admin.,single,basic.6y,no,no,telephone,may,mon,303,2,nonexistent,1.1,no
147,28,services,married,high.school,yes,no,telephone,may,mon,81,1,nonexistent,1.1,no
148,37,blue-collar,married,basic.9y,no,no,telephone,may,mon,270,1,nonexistent,1.1,no
149,34,technician,married,high.school,no,no,telephone,may,mon,228,1,nonexistent,1.1,no
150,46,blue-collar,married,basic.6y,yes,no,telephone,may,mon,240,1,nonexistent,1.1,no
151,42,blue-collar,married,basic.9y,yes,yes,telephone,may,mon,673,2,nonexistent,1.1,yes
152,36,admin.,married,university.degree,yes,no,telephone,may,mon,233,3,nonexistent,1.1,no
153,54,blue-collar,married,basic.4y,no,no,telephone,may,mon,102,1,nonexistent,1.1,no
154,57,management,married,university.degree,no,no,telephone,may,mon,461,1,nonexistent,1.1,no
155,51,technician,married,basic.6y,no,no,telephone,may,mon,250,1,nonexistent,1.1,no
156,54,retired,married,high.school,no,no,telephone,may,mon,130,1,nonexistent,1.1,no
157,49,blue-collar,married,basic.4y,no,no,telephone,may,mon,252,1,nonexistent,1.1,no
158,34,admin.,married,university.degree,yes,no,telephone,may,mon,138,1,nonexistent,1.1,no
159,41,technician,married,professional.course,no,no,telephone,may,mon,412,1,nonexistent,1.1,no
160,38,blue-collar,single,basic.9y,yes,no,telephone,may,mon,179,2,nonexistent,1.1,no
161,45,management,divorced,university.degree,no,no,telephone,may,mon,19,2,nonexistent,1.1,no
162,42,technician,married,university.degree,no,no,telephone,may,mon,228,2,nonexistent,1.1,no
163,34,blue-collar,single,basic.9y,yes,no,telephone,may,mon,55,1,nonexistent,1.1,no
164,48,blue-collar,married,basic.4y,yes,no,telephone,may,mon,717,1,nonexistent,1.1,no
165,37,admin.,married,high.school,yes,no,telephone,may,mon,313,1,nonexistent,1.1,no
166,34,blue-collar,single,basic.9y,no,no,telephone,may,mon,289,1,nonexistent,1.1,no
167,40,admin.,married,basic.9y,yes,no,telephone,may,mon,683,2,nonexistent,1.1,no
168,43,blue-collar,married,basic.6y,yes,no,telephone,may,mon,1077,1,nonexistent,1.1,no
169,33,services,married,high.school,no,no,telephone,may,mon,146,2,nonexistent,1.1,no
170,32,services,single,basic.6y,no,no,telephone,may,mon,167,1,nonexistent,1.1,no
171,39,blue-collar,married,high.school,yes,no,telephone,may,mon,356,2,nonexistent,1.1,no
172,44,blue-collar,married,basic.9y,yes,no,telephone,may,mon,172,1,nonexistent,1.1,no
173,35,student,single,university.degree,no,no,telephone,may,mon,218,1,nonexistent,1.1,no
174,35,student,single,university.degree,yes,yes,telephone,may,mon,217,1,nonexistent,1.1,no
175,35,unemployed,married,professional.course,no,no,telephone,may,mon,67,1,nonexistent,1.1,no
176,36,services,single,basic.4y,no,no,telephone,may,mon,291,1,nonexistent,1.1,no
177,35,student,single,university.degree,yes,no,telephone,may,mon,248,1,nonexistent,1.1,no
178,36,student,single,basic.9y,yes,no,telephone,may,mon,256,1,nonexistent,1.1,no
179,55,housemaid,divorced,university.degree,no,no,telephone,may,mon,286,1,nonexistent,1.1,no
180,59,admin.,married,university.degree,no,no,telephone,may,mon,477,1,nonexistent,1.1,no
181,39,blue-collar,married,professional.course,yes,no,telephone,may,mon,471,1,nonexistent,1.1,no
182,39,housemaid,married,basic.4y,yes,no,telephone,may,mon,381,2,nonexistent,1.1,no
183,50,housemaid,married,basic.4y,no,no,telephone,may,mon,287,1,nonexistent,1.1,no
184,40,services,married,high.school,no,no,telephone,may,mon,322,3,nonexistent,1.1,no
185,35,admin.,married,high.school,yes,no,telephone,may,mon,216,2,nonexistent,1.1,no
186,36,services,single,basic.6y,yes,no,telephone,may,mon,210,1,nonexistent,1.1,no
187,46,technician,married,basic.4y,yes,no,telephone,may,mon,288,1,nonexistent,1.1,no
188,40,technician,married,basic.9y,no,no,telephone,may,mon,168,1,nonexistent,1.1,no
189,58,retired,married,university.degree,no,no,telephone,may,mon,132,1,nonexistent,1.1,no
190,42,technician,married,university.degree,no,no,telephone,may,mon,64,2,nonexistent,1.1,no
191,35,admin.,single,university.degree,no,no,telephone,may,mon,209,2,nonexistent,1.1,no
192,43,retired,married,basic.4y,no,no,telephone,may,mon,410,3,nonexistent,1.1,no
193,45,blue-collar,married,basic.4y,yes,yes,telephone,may,mon,177,1,nonexistent,1.1,no
194,39,admin.,married,professional.course,yes,no,telephone,may,mon,580,2,nonexistent,1.1,no
195,50,services,divorced,professional.course,yes,no,telephone,may,mon,165,1,nonexistent,1.1,no
196,32,management,divorced,basic.4y,yes,no,telephone,may,mon,127,2,nonexistent,1.1,no
197,39,admin.,married,high.school,no,no,telephone,may,mon,357,1,nonexistent,1.1,no
198,52,self-employed,married,university.degree,no,no,telephone,may,mon,175,1,nonexistent,1.1,no
199,44,admin.,married,professional.course,yes,no,telephone,may,mon,300,1,nonexistent,1.1,no
200,56,blue-collar,married,basic.4y,no,no,telephone,may,mon,136,1,nonexistent,1.1,no
201,48,admin.,married,high.school,no,no,telephone,may,mon,125,2,nonexistent,1.1,no
202,33,services,married,high.school,no,yes,telephone,may,mon,189,2,nonexistent,1.1,no
203,43,management,married,university.degree,no,yes,telephone,may,mon,213,3,nonexistent,1.1,no
204,57,retired,married,high.school,no,no,telephone,may,mon,238,2,nonexistent,1.1,no
205,36,technician,single,professional.course,no,no,telephone,may,mon,124,1,nonexistent,1.1,no
206,34,management,married,university.degree,yes,no,telephone,may,mon,18,1,nonexistent,1.1,no
207,34,services,single,basic.9y,no,no,telephone,may,mon,730,2,nonexistent,1.1,no
208,30,technician,married,university.degree,no,no,telephone,may,mon,40,1,nonexistent,1.1,no
209,32,technician,single,professional.course,no,no,telephone,may,mon,79,1,nonexistent,1.1,no
210,36,technician,single,high.school,yes,no,telephone,may,mon,142,2,nonexistent,1.1,no
211,36,blue-collar,single,high.school,no,yes,telephone,may,mon,389,1,nonexistent,1.1,no
212,33,services,single,high.school,no,no,telephone,may,mon,702,1,nonexistent,1.1,no
213,40,technician,divorced,professional.course,no,no,telephone,may,mon,151,1,nonexistent,1.1,no
214,41,blue-collar,married,basic.4y,yes,no,telephone,may,mon,211,1,nonexistent,1.1,no
215,51,services,married,basic.6y,yes,no,telephone,may,mon,117,1,nonexistent,1.1,no
216,36,technician,married,professional.course,yes,no,telephone,may,mon,232,3,nonexistent,1.1,no
217,53,services,married,high.school,yes,yes,telephone,may,mon,370,3,nonexistent,1.1,no
218,58,blue-collar,married,basic.9y,yes,no,telephone,may,mon,179,2,nonexistent,1.1,no
219,45,management,married,basic.9y,no,yes,telephone,may,mon,46,1,nonexistent,1.1,no
220,33,admin.,married,high.school,no,yes,telephone,may,mon,50,1,nonexistent,1.1,no
221,33,admin.,married,high.school,no,yes,telephone,may,mon,181,1,nonexistent,1.1,no
222,42,technician,married,high.school,no,no,telephone,may,mon,361,1,nonexistent,1.1,no
223,43,admin.,divorced,basic.9y,no,no,telephone,may,mon,73,3,nonexistent,1.1,no
224,42,admin.,married,university.degree,no,no,telephone,may,mon,67,2,nonexistent,1.1,no
225,27,blue-collar,single,basic.6y,no,no,telephone,may,mon,350,1,nonexistent,1.1,no
226,34,self-employed,single,university.degree,yes,no,telephone,may,mon,150,2,nonexistent,1.1,no
227,31,student,single,university.degree,no,no,telephone,may,mon,332,2,nonexistent,1.1,no
228,54,management,divorced,university.degree,no,no,telephone,may,mon,611,2,nonexistent,1.1,no
229,40,self-employed,married,basic.4y,no,no,telephone,may,mon,58,3,nonexistent,1.1,no
230,52,unemployed,married,high.school,yes,no,telephone,may,mon,151,1,nonexistent,1.1,no
231,47,management,divorced,university.degree,no,no,telephone,may,mon,89,2,nonexistent,1.1,no
232,49,housemaid,married,basic.9y,no,no,telephone,may,mon,152,1,nonexistent,1.1,no
233,32,admin.,single,high.school,no,no,telephone,may,mon,611,2,nonexistent,1.1,no
234,49,housemaid,single,high.school,yes,yes,telephone,may,mon,110,2,nonexistent,1.1,no
235,50,blue-collar,married,basic.9y,no,no,telephone,may,mon,463,1,nonexistent,1.1,no
236,34,services,married,high.school,no,no,telephone,may,mon,962,1,nonexistent,1.1,no
237,55,blue-collar,married,basic.4y,no,no,telephone,may,mon,102,2,nonexistent,1.1,no
238,47,technician,single,basic.9y,no,no,telephone,may,mon,10,4,nonexistent,1.1,no
239,51,retired,married,professional.course,no,no,telephone,may,mon,118,3,nonexistent,1.1,no
240,47,blue-collar,married,basic.6y,no,no,telephone,may,mon,92,2,nonexistent,1.1,no
241,56,technician,married,basic.4y,yes,no,telephone,may,mon,143,3,nonexistent,1.1,no
242,53,admin.,married,basic.9y,no,no,telephone,may,mon,189,3,nonexistent,1.1,no
243,36,blue-collar,married,basic.9y,yes,no,telephone,may,mon,75,2,nonexistent,1.1,no
244,42,blue-collar,divorced,basic.9y,yes,no,telephone,may,mon,189,2,nonexistent,1.1,no
245,44,blue-collar,divorced,basic.6y,no,no,telephone,may,mon,55,2,nonexistent,1.1,no
246,39,housemaid,married,basic.9y,yes,no,telephone,may,mon,935,3,nonexistent,1.1,yes
247,37,admin.,single,high.school,yes,yes,telephone,may,mon,56,2,nonexistent,1.1,no
248,36,services,married,high.school,no,no,telephone,may,mon,225,2,nonexistent,1.1,no
249,42,management,divorced,university.degree,yes,no,telephone,may,mon,125,2,nonexistent,1.1,no
250,31,admin.,married,high.school,yes,yes,telephone,may,mon,286,2,nonexistent,1.1,no
251,53,technician,divorced,professional.course,no,yes,telephone,may,mon,206,2,nonexistent,1.1,no
252,45,blue-collar,married,basic.4y,yes,no,telephone,may,mon,164,2,nonexistent,1.1,no
253,37,technician,single,professional.course,yes,no,telephone,may,mon,98,2,nonexistent,1.1,no
254,47,self-employed,married,professional.course,no,no,telephone,may,mon,446,2,nonexistent,1.1,no
255,49,blue-collar,divorced,high.school,no,yes,telephone,may,mon,742,2,nonexistent,1.1,no
256,36,admin.,married,university.degree,yes,no,telephone,may,mon,120,2,nonexistent,1.1,no
257,35,services,divorced,high.school,no,no,telephone,may,mon,122,3,nonexistent,1.1,no
258,38,services,single,high.school,no,no,telephone,may,mon,357,2,nonexistent,1.1,no
259,50,blue-collar,divorced,high.school,no,yes,telephone,may,mon,200,2,nonexistent,1.1,no
260,59,retired,married,professional.course,no,no,telephone,may,mon,107,2,nonexistent,1.1,no
261,42,admin.,married,high.school,yes,no,telephone,may,mon,248,2,nonexistent,1.1,no
262,40,admin.,married,basic.6y,yes,no,telephone,may,mon,215,2,nonexistent,1.1,no
263,57,housemaid,divorced,basic.4y,yes,yes,telephone,may,mon,205,2,nonexistent,1.1,no
264,42,admin.,married,university.degree,yes,no,telephone,may,mon,261,3,nonexistent,1.1,no
265,41,blue-collar,married,basic.4y,yes,no,telephone,may,mon,83,2,nonexistent,1.1,no
266,54,management,divorced,university.degree,yes,no,telephone,may,mon,106,3,nonexistent,1.1,no
267,27,admin.,single,university.degree,no,no,telephone,may,mon,106,2,nonexistent,1.1,no
268,36,admin.,married,high.school,no,no,telephone,may,mon,108,2,nonexistent,1.1,no
269,58,blue-collar,married,professional.course,yes,no,telephone,may,mon,214,2,nonexistent,1.1,no
270,40,management,married,university.degree,yes,no,telephone,may,mon,358,2,nonexistent,1.1,no
271,34,admin.,single,basic.9y,no,no,telephone,may,mon,453,2,nonexistent,1.1,no
272,33,admin.,divorced,high.school,no,no,telephone,may,mon,364,2,nonexistent,1.1,no
273,56,retired,married,basic.6y,no,no,telephone,may,mon,136,2,nonexistent,1.1,no
274,42,blue-collar,married,basic.9y,no,no,telephone,may,mon,173,2,nonexistent,1.1,no
275,43,services,married,high.school,yes,no,telephone,may,mon,241,2,nonexistent,1.1,no
276,54,management,single,basic.9y,yes,no,telephone,may,mon,224,3,nonexistent,1.1,no
277,53,admin.,single,basic.6y,yes,yes,telephone,may,mon,148,2,nonexistent,1.1,no
278,40,services,married,basic.6y,no,no,telephone,may,mon,199,3,nonexistent,1.1,no
279,54,technician,married,professional.course,yes,yes,telephone,may,mon,196,2,nonexistent,1.1,no
280,40,housemaid,single,professional.course,no,no,telephone,may,mon,111,4,nonexistent,1.1,no
281,26,admin.,single,university.degree,yes,no,telephone,may,mon,231,3,nonexistent,1.1,no
282,33,admin.,married,high.school,no,no,telephone,may,mon,316,3,nonexistent,1.1,no
283,35,blue-collar,married,basic.9y,no,no,telephone,may,mon,240,2,nonexistent,1.1,no
284,36,admin.,married,high.school,no,no,telephone,may,mon,669,3,nonexistent,1.1,no
285,29,services,single,high.school,yes,no,telephone,may,mon,425,2,nonexistent,1.1,no
286,36,blue-collar,married,basic.9y,yes,no,telephone,may,mon,121,2,nonexistent,1.1,no
287,35,management,married,high.school,yes,no,telephone,may,mon,174,5,nonexistent,1.1,no
288,50,self-employed,single,university.degree,no,yes,telephone,may,mon,88,5,nonexistent,1.1,no
289,46,services,married,high.school,yes,no,telephone,may,mon,313,3,nonexistent,1.1,no
290,49,entrepreneur,married,high.school,yes,no,telephone,may,mon,135,4,nonexistent,1.1,no
291,42,technician,single,professional.course,yes,no,telephone,may,mon,152,2,nonexistent,1.1,no
292,36,blue-collar,single,high.school,yes,yes,telephone,may,mon,402,3,nonexistent,1.1,no
293,55,blue-collar,married,basic.9y,yes,no,telephone,may,mon,221,2,nonexistent,1.1,no
294,41,management,married,university.degree,no,no,telephone,may,mon,213,2,nonexistent,1.1,no
295,57,management,married,professional.course,yes,no,telephone,may,mon,144,3,nonexistent,1.1,no
296,32,services,single,high.school,yes,no,telephone,may,mon,158,3,nonexistent,1.1,no
297,49,admin.,married,basic.9y,no,no,telephone,may,mon,220,3,nonexistent,1.1,no
298,58,blue-collar,divorced,basic.4y,yes,no,telephone,may,mon,254,2,nonexistent,1.1,no
299,52,technician,married,high.school,yes,no,telephone,may,mon,503,2,nonexistent,1.1,no
300,50,services,divorced,professional.course,no,no,telephone,may,mon,680,2,nonexistent,1.1,no
301,41,blue-collar,single,basic.9y,yes,no,telephone,may,mon,421,4,nonexistent,1.1,no
302,33,entrepreneur,married,university.degree,yes,no,telephone,may,mon,130,3,nonexistent,1.1,no
303,57,blue-collar,married,basic.4y,no,no,telephone,may,mon,164,2,nonexistent,1.1,no
304,48,blue-collar,married,basic.6y,no,no,telephone,may,mon,174,3,nonexistent,1.1,no
305,55,technician,married,professional.course,no,no,telephone,may,mon,113,2,nonexistent,1.1,no
306,38,management,married,university.degree,no,no,telephone,may,mon,195,2,nonexistent,1.1,no
307,38,services,married,high.school,yes,no,telephone,may,mon,347,3,nonexistent,1.1,no
